domain,count,avg_interest
centerfillers.com,2,767.0
kaczynscyclinic.pl,1,527.0
doktormonika.pl,23,479.1304347826087
keratinmoment.pl,2,473.0
imagofacebody.pl,1,470.0
novoderm.pl,1,464.0
skorna.pl,5,442.8
drlukaszrdzanek.pl,2,410.0
kosme.pl,5,396.0
perfectbasic.pl,1,389.0
www.san-medical.pl,4,357.0
www.drstawowska.pl,16,352.625
gemini.pl,6,352.1666666666667
www.skyclinic.pl,2,329.0
www.elle.pl,2,314.5
ktomalek.pl,10,311.7
www.klinikaantiaging.pl,7,305.42857142857144
piekne-cialo.pl,2,305.0
revitae.com.pl,1,284.0
gorlickakruk.pl,7,283.57142857142856
klinikaotco.pl,2,281.0
bonadea-krakow.net.pl,20,274.5
www.medyczneprawo.pl,1,271.0
klinikakrajewski.pl,17,264.3529411764706
www.motylclinic.pl,2,262.0
www.groupon.com,1,260.0
www.marekwasiluk.pl,6,251.0
akademiarzezbieniatwarzy.pl,1,245.0
projektskora.pl,44,239.4090909090909
mariemargo.pl,3,233.0
www.e-zikoapteka.pl,2,230.0
www.blueclinic.pl,2,228.0
www.drmax.pl,8,218.75
www.ruczajclinic.pl,1,218.0
www.skin-laser.pl,6,215.0
anclara.pl,1,207.0
tesoroclinic.pl,4,198.0
nature-eva.pl,1,193.0
www.arsestetica.pl,24,192.375
bellisana.pl,2,191.0
m.polish.fillerha.com,6,190.0
medicor.krakow.pl,2,187.5
www.groupon.pl,4,181.25
www.kliniki.pl,49,174.6326530612245
derm-estetyka.pl,5,173.8
gabinetodzaplecza.pl,2,168.5
sekretycery.pl,4,166.0
beauty-factory.pl,1,165.0
www.fillerdermal.com,1,164.0
indonesian.fillerdermal.com,1,164.0
german.fillerdermal.com,1,163.0
spanish.fillerdermal.com,1,162.0
turkish.fillerdermal.com,1,162.0
dutch.fillerdermal.com,1,162.0
portuguese.fillerdermal.com,1,162.0
russian.fillerdermal.com,1,162.0
vietnamese.fillerdermal.com,1,162.0
french.fillerdermal.com,1,162.0
greek.fillerdermal.com,1,162.0
www.theguardian.com,1,162.0
medivec.pl,1,162.0
japanese.fillerdermal.com,1,162.0
italian.fillerdermal.com,1,162.0
www.strefakosmetologii.pl,1,162.0
www.wannabebeautyguru.com,1,160.0
instytut.bielenda.pl,1,158.0
www.wrosinski.pl,4,156.0
livingnatural.pl,1,155.0
www.naturalandbeauty.pl,4,153.0
infinityderm.pl,5,150.8
beautyduty.pl,1,148.0
mudii.com,1,142.0
drkulicki.pl,7,140.85714285714286
tk-laser.pl,12,140.33333333333334
fyoung.pl,7,138.42857142857142
masi.com.pl,2,133.0
www.sowinska-podlasek.pl,5,131.8
mirackiclinic.com,14,129.21428571428572
www.fryzomania.pl,20,127.55
skinboost.pl,8,127.375
journals.viamedica.pl,2,127.0
www.blushbest.nl,7,126.57142857142857
www.europages.pl,1,126.0
uniestetica.pl,8,122.25
www.zatokapiekna.pl,1,122.0
prestigespa.pl,4,121.0
mediderm.com.pl,1,119.0
proestetica.com.pl,4,117.0
www.drtolwaj.pl,3,116.0
www.pap.pl,2,111.0
face-med.pl,1,108.0
www.akademiaciala.pl,2,107.0
www.medyk.co.uk,16,105.125
m.polish.fillerdermal.com,2,102.5
www.dokterfrodo.nl,1,100.0
btxfairy.pl,4,98.25
uradka.pl,3,93.33333333333333
monalisa-poznan.pl,30,90.53333333333333
www.glamour.pl,4,87.0
dziendobry.tvn.pl,1,86.0
www.beautyaddress.pl,4,84.25
www.dwie-siostry.com,2,84.0
thai.fillerdermal.com,1,82.0
drkopaczynski.pl,9,81.66666666666667
gajda-adwokat.pl,1,81.0
www.skinmate.pl,1,81.0
www.marykay.pl,1,80.0
www.superpharm.pl,2,77.0
www.rynekestetyczny.pl,4,76.0
lifemedica.pl,1,74.0
www.babskie-fanaberie.pl,1,74.0
www.dermaclinique.pl,9,72.66666666666667
naturallook.com.pl,25,72.36
drwolfingerclinic.pl,2,72.0
klinikamelitus.pl,1,72.0
drskincare.pl,1,70.0
aspazja.pl,4,69.0
polish.fillerdermal.com,26,67.61538461538461
phyris.pl,2,67.0
www.ollie.pl,2,64.0
saif.pl,2,64.0
m.polish.hadermal-filler.com,1,62.0
www.anwen.pl,2,62.0
arabic.fillerdermal.com,1,62.0
pl.wikipedia.org,2,61.0
www.medeste.pl,3,60.0
sklep.sharley.pl,10,59.4
www.aestheticbeautycenter.nl,19,58.473684210526315
klpharma.pl,2,58.0
gajasalon.pl,1,58.0
www.icoone.pl,2,57.5
ppbeautyclinic.pl,2,56.0
booksy.com,5,55.8
pimik.pl,1,55.0
wizaz.pl,14,53.714285714285715
beautynova.pl,2,52.5
esteticanova.com.pl,3,52.333333333333336
estetiq.com.pl,2,52.0
myslenice.naszemiasto.pl,2,51.0
klinikaustron.pl,25,49.84
naturalpoland.com,1,49.0
hurtownia-kosmetyczna.com.pl,4,48.75
wszystkodowlosow.pl,3,48.666666666666664
keratynove.pl,1,48.0
www.eko-dystrybutor.pl,2,48.0
www.medestetis.pl,54,46.2037037037037
naturalissa.pl,11,46.18181818181818
viaaroma.pl,2,46.0
www.mediclaser.eu,2,46.0
www.kuzniaurody.pl,1,46.0
confortobeautyclinic.pl,1,46.0
rockerfiller.com,4,45.75
www.estheticon.pl,3,43.333333333333336
politykazdrowotna.com,1,43.0
fabskin.pl,86,42.348837209302324
www.soluderma.pl,3,42.0
apteline.pl,4,40.5
www.aquavitae.com.pl,5,40.0
www.dr-osadowska.pl,21,39.80952380952381
fillers4all.com,114,39.36842105263158
www.doz.pl,26,38.38461538461539
zdrowie.trojmiasto.pl,5,38.2
mkkmedica.pl,11,38.0
www.dermedika.pl,14,37.142857142857146
www.manikowska.eu,4,37.0
ipcliniq.pl,2,37.0
beautylabclinic.pl,1,37.0
purles.pl,1,36.0
lipstore.pl,1,36.0
kosmetykiata.pl,2,36.0
botoxpiekarski.pl,1,36.0
portalyogi.pl,1,36.0
drmarosz.pl,1,35.0
german.ha-dermalfillers.com,2,34.5
www.rp.pl,3,33.666666666666664
katarzynaosipowicz.pl,2,33.0
www.drmaxdrogeria.pl,1,33.0
klinikakolasinski.pl,1,32.0
www.nowaestetyka.pl,13,31.53846153846154
m.polish.ha-dermalfillers.com,5,31.2
www.elle-pharm.com,5,31.2
polish.ha-dermalfillers.com,45,31.08888888888889
www.ha-dermalfillers.com,2,31.0
french.ha-dermalfillers.com,2,31.0
russian.ha-dermalfillers.com,2,31.0
japanese.ha-dermalfillers.com,2,31.0
nowaortopedia.pl,1,31.0
portuguese.ha-dermalfillers.com,2,31.0
greek.ha-dermalfillers.com,2,31.0
dutch.ha-dermalfillers.com,2,31.0
turkish.ha-dermalfillers.com,2,31.0
italian.ha-dermalfillers.com,2,31.0
spanish.ha-dermalfillers.com,2,31.0
impress-pharma.pl,2,31.0
fryzjerskisklep.pl,68,30.941176470588236
shopping.fillerdermal.com,1,30.0
www.gdziepolek.pl,14,29.285714285714285
fryzjersklep.pl,1,28.0
stayhealthy.pl,1,28.0
moemi.pl,1,28.0
hafillers.com,1,28.0
sklep.secretlashes.pl,1,27.0
www.zatrzymajmlodosc.pl,1,27.0
aspalia.pl,2,26.0
skeyndor.info.pl,2,26.0
www.royalmedical.com.pl,2,26.0
thebeautydoctors.pl,7,26.0
celmade.com,25,25.84
www.drselwa.pl,1,25.0
nativisclinic.pl,1,25.0
www.drogeria-ekologiczna.pl,2,25.0
estivita.pl,2,24.0
stachuradrozd.pl,8,23.375
kodyrabatowe.wizaz.pl,1,23.0
www.klinika-rzeszow.pl,1,23.0
www.filmpolski.pl,1,22.0
instytutestetyki.pl,2,22.0
www.chirurgiajastrzebski.pl,2,22.0
persian.fillerdermal.com,1,22.0
zastrzykmlodosci.pl,3,21.0
arabic.ha-dermalfillers.com,2,21.0
korean.ha-dermalfillers.com,2,21.0
polish.fillerha.com,43,20.209302325581394
allegro.pl,33,20.181818181818183
edipresse.hit.gemius.pl,1,20.0
www.fillerworld.com,1,20.0
turkish.fillerha.com,1,20.0
estetycznahurtownia.pl,23,19.304347826086957
www.elite.waw.pl,1,19.0
www.beautyever.pl,14,18.928571428571427
www.mp.pl,16,18.8125
skin-medic.pl,21,17.571428571428573
klinikaambroziak.pl,4,16.0
www.mocurody.pl,4,15.75
www.medexpress.pl,1,15.0
opatow.naszemiasto.pl,1,15.0
bjushop.com,4,15.0
newsy.wizaz.pl,1,15.0
www.galderma.com,2,15.0
www.cocobeauty.pl,1,15.0
drstyczen.pl,14,14.857142857142858
kandara.pl,14,14.071428571428571
medicalclinic.pl,2,14.0
www.silapiekna.pl,5,13.6
www.hairtrendy.pl,2,13.5
www.artemed.pl,12,13.166666666666666
sharley.pl,1,12.0
www.bio-med.pl,2,11.0
tranzycja.pl,1,11.0
skinboostgabinetkosmetologiiprofesjonalnej.booksy.com,1,10.0
biomak.eu,2,10.0
deluxe.trojmiasto.pl,1,9.0
sklep.lemone.pl,1,9.0
pogotowie-pielegniarskie.pl,2,9.0
multiclinic.pl,1,8.0
lunamed.pl,2,8.0
swiatzdrowia.pl,1,7.0
puremed.com.pl,19,6.578947368421052
www.pro-sprzet.pl,12,6.166666666666667
medbon.pl,1,6.0
drannabucka.pl,1,6.0
cosmed24.pl,3,6.0
allegrolokalnie.pl,23,5.826086956521739
symbiosis.pl,4,5.5
www.ocnilekar-fm.cz,3,5.333333333333333
www.procam.pl,2,5.0
www.karmenta.nl,1,5.0
dimedic.eu,1,5.0
www.valquer.pl,2,5.0
megesteticaclinic.pl,1,5.0
silog.pl,2,5.0
bellita.pl,11,4.363636363636363
scmestetic.pl,3,4.333333333333333
halowies.pl,3,4.333333333333333
medimall.pl,8,4.125
raywell.pl,2,4.0
www.cromapharma.com,2,4.0
www.monalisa-poznan.pl,1,4.0
klinikatazbir.pl,2,4.0
www.ofeminin.pl,2,4.0
pulsmedycyny.pl,1,4.0
ogloszenia.trojmiasto.pl,4,4.0
www.amazon.pl,3,3.6666666666666665
estetik.pl,26,3.576923076923077
www.hairstore.pl,5,3.4
kobieta.wp.pl,15,3.2
dotykpiekna.com.pl,1,3.0
www.ceneo.pl,1,3.0
darmarsklep.pl,2,3.0
www.medonet.pl,2,3.0
dermedik.pl,1,3.0
www.gkcosmetics.pl,2,3.0
katalog.trojmiasto.pl,1,3.0
www.trojmiasto.pl,1,3.0
kafeteria.pl,1,3.0
cmkrolewska.pl,1,3.0
rejestrymedyczne.ezdrowie.gov.pl,7,2.7142857142857144
bengali.fillerdermal.com,1,2.0
kern.net.pl,1,2.0
beautyboutique.pl,1,2.0
www.urtica.pl,2,2.0
korean.fillerdermal.com,1,2.0
www.rmf24.pl,3,2.0
harmonyplus.pl,1,2.0
www.wapteka.pl,1,2.0
spolecznosc.allegro.pl,1,2.0
slawno.naszemiasto.pl,1,2.0
www.ambasadaurody.pl,1,2.0
leki.pl,1,2.0
hindi.fillerdermal.com,1,2.0
www.filmweb.pl,3,2.0
sklep.klarabeauty.pl,2,1.5
www.ciesinski.pl,2,1.5
www.boczarska-jedynak.pl,3,1.3333333333333333
www.drogeriaolmed.pl,2,1.0
uroda.poradnikzdrowie.pl,2,1.0
avanti24.pl,1,1.0
bbone.pl,2,1.0
www.mskcc.org,2,1.0
ampgroup.com.pl,1,1.0
dentaleshop.pl,1,1.0
e-marku.pl,1,1.0
sklep.dayspashe.pl,1,1.0
kurs.mariemargo.pl,1,1.0
www.lekizczech.pl,2,1.0
pharmindex.pl,2,0.5
e-meditrans.pl,2,0.5
www.apteka-melissa.pl,6,0.16666666666666666
www.aptekaolmed.pl,18,0.1111111111111111
vietnamese.fillerha.com,1,0.0
trojmiasto.wyborcza.pl,1,0.0
uslugirozwojowe.parp.gov.pl,2,0.0
venus.lukow.pl,1,0.0
thai.fillerha.com,1,0.0
vpol.olsztyn.pl,2,0.0
www.abbvie.pl,2,0.0
www.dlakosmetologii.pl,1,0.0
www.instagram.com,2,0.0
www.cme.zdrowo.pl,2,0.0
estei.pl,1,0.0
medicenter.pl,2,0.0
lit.pl,1,0.0
fit.poradnikzdrowie.pl,5,0.0
www.etsy.com,3,0.0
erli.pl,1,0.0
ec.europa.eu,6,0.0
dutch.fillerha.com,1,0.0
chpl.com.pl,2,0.0
forum.gazeta.pl,2,0.0
www.estetiq.com.pl,2,0.0
www.i-apteka.pl,2,0.0
www.facebook.com,12,0.0
pl-pl.facebook.com,2,0.0
spanish.fillerha.com,1,0.0
smaker.pl,2,0.0
sklep.kandara.pl,1,0.0
secure.mp.pl,1,0.0
s-trojmiasto.pl,1,0.0
russian.fillerha.com,1,0.0
t.me,1,0.0
polish.hadermal-filler.com,6,0.0
pl.aliexpress.com,7,0.0
piotrkowtrybunalski.naszemiasto.pl,1,0.0
www.fillerha.com,1,0.0
persian.fillerha.com,1,0.0
odzywianie.wprost.pl,3,0.0
nowiny24.pl,1,0.0
pl.beulines.com,1,0.0
medykdlaciebie.pl,2,0.0
tarnow.naszemiasto.pl,1,0.0
top.pl,2,0.0
bengali.fillerha.com,1,0.0
www.google.com,1,0.0
centrumurodygarwolin.pl,2,0.0
ar-ar.facebook.com,1,0.0
bellecocosmetics.com,2,0.0
www.keratin-worldhair.com,1,0.0
adserver.epph.pl,1,0.0
wyborcza.pl,1,0.0
www.linkedin.com,1,0.0
www.wirtualnemedia.pl,1,0.0
www.pinterest.com,2,0.0
www.poradnikzdrowie.pl,1,0.0
www.prawo.pl,5,0.0
www.wiadomoscikosmetyczne.pl,2,0.0
www.privatemediclinic.nl,1,0.0
www.notino.pl,1,0.0
www.rmf.fm,1,0.0
www.youtube.com,11,0.0
www.kupona.de,1,0.0
www.medicover.pl,6,0.0
www.znanylekarz.pl,1,0.0
www.rynekzdrowia.pl,7,0.0
www.klinikaswidwin.pl,4,0.0
www.topestetic.pl,2,0.0
www.neuro-care.pl,2,0.0
portuguese.fillerha.com,1,0.0
italian.fillerha.com,1,0.0
bartoszmowi.pl,2,0.0
greek.fillerha.com,1,0.0
arabic.fillerha.com,1,0.0
api.whatsapp.com,1,0.0
bliskochorego.pl,1,0.0
m.facebook.com,7,0.0
french.fillerha.com,1,0.0
german.fillerha.com,1,0.0
kuracjeantyaging.pl,4,0.0
korean.fillerha.com,1,0.0
kobieta.interia.pl,8,0.0
kobieta.gazeta.pl,2,0.0
kobieta.dziennik.pl,2,0.0
klinikastrzalkowski.pl,1,0.0
gdziepolek.blob.core.windows.net,4,0.0
japanese.fillerha.com,1,0.0
indonesian.fillerha.com,1,0.0
ichgcp.net,2,0.0
hyaloo.pl,1,0.0
hurt.impress-pharma.pl,2,0.0
hindi.fillerha.com,1,0.0
zdrowie.wprost.pl,4,0.0
